,name,nb_pages,size,size_removed,size_removed_percent
0,estonia-higher-education-strategy-2006-2015.pdf,12,6175,38,0.61
1,armenia_educational_national_plan.pdf,47,12707,160,1.24
2,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,59,19653,154,0.78
3,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,29,6119,69,1.12
4,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,14,4105,14,0.34
5,hungary_public_ed_dev_strategy_2004_en.pdf,49,20779,100,0.48
6,denmark_better_education_action_plan.pdf,81,20938,256,1.21
7,moldova_education_plan2006-2008.pdf,35,6962,117,1.65
8,norway_secondary_education.pdf,18,5050,70,1.37
9,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,39,14145,99,0.7
10,albania-education-strategy-2004-2015.pdf,62,18183,249,1.35
11,czech_republic_framework_education_programme_for_basic_education.pdf,129,52337,389,0.74
12,netherlands_quality_in_diversity_strategy.pdf,92,42139,420,0.99
13,strategic_framework_cz20301.pdf,124,42299,908,2.1
14,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,64,21906,184,0.83
15,ireland_statement-of-strategy-2019-2021.pdf,28,6641,157,2.31
16,ireland_national_skills_stratgey_2025.pdf,63,38222,791,2.03
17,czech_republic_higher_education_strategic_plan_2021.pdf,69,36219,525,1.43
18,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,70,16800,1519,8.29
19,croatia_education_sector_development_plan_2005-2010.pdf,51,14172,122,0.85
20,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,42,14285,236,1.63
21,netherlands_quality_agreements_2019-2024.pdf,8,3884,43,1.09
22,estonia_youth_work_strategy_2006-2013.pdf,38,7442,82,1.09
23,lithuania_ed_improvement_project_2002-2005.pdf,8,2985,9,0.3
24,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,29,6651,117,1.73
25,ireland_strategy_statement.pdf,72,19689,173,0.87
