word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
the,166,71,294,79,111,395,187,7,137,143,171,154,490,36,119,12,258,44,74,433,83,41,69,16,65,41
ministri,18,5,0,7,7,36,4,46,8,0,35,25,107,0,12,5,33,1,0,14,17,5,11,0,19,0
educ,486,226,465,65,580,129,1033,221,224,435,559,281,733,82,479,311,392,45,354,805,76,100,272,136,950,184
mediumterm,23,0,2,0,0,2,0,0,0,1,1,0,1,0,11,0,0,0,0,0,0,0,0,0,1,0
public,148,10,52,4,20,288,18,32,36,51,8,16,104,13,80,25,11,3,27,33,8,4,15,11,28,16
develop,339,57,324,81,109,441,223,77,301,191,228,51,226,38,139,115,100,6,97,107,60,15,91,33,300,52
strategi,46,9,288,62,1,46,23,14,25,180,31,12,29,23,18,3,5,1,62,7,30,4,17,39,75,57
budapest,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
content,56,2,11,5,12,9,155,1,22,1,12,8,9,1,6,3,31,2,1,7,2,4,6,1,6,1
introduct,7,2,7,5,38,12,7,4,2,5,9,2,10,2,27,0,10,0,6,13,1,1,7,2,6,2
_______________________________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
situat,16,5,5,5,13,18,132,0,5,0,4,7,14,2,0,5,5,1,0,4,2,0,10,0,18,0
assess,46,22,39,5,8,45,68,6,9,20,11,23,21,8,26,1,21,33,15,41,14,6,7,2,9,9
______________________________________________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strength,11,0,8,0,0,5,6,0,2,0,1,2,3,0,0,0,3,0,4,28,0,0,1,0,7,2
opportun,22,5,84,2,2,40,20,4,6,9,21,5,17,5,26,4,6,7,36,30,7,2,17,7,17,18
weak,14,0,0,0,0,10,10,0,2,0,0,0,1,0,0,0,3,0,0,5,0,0,2,0,8,0
threat,8,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0
_________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
problem,19,1,8,1,24,28,80,3,6,2,7,0,20,0,22,1,12,1,1,16,3,2,7,0,9,0
requir,104,13,52,3,24,31,37,13,7,28,19,19,54,24,15,1,70,1,13,62,7,7,10,5,26,2
polici,41,5,41,2,6,174,3,14,64,116,19,19,22,7,21,2,10,1,22,75,69,5,25,14,65,17
action,10,2,121,1,5,14,15,7,5,32,6,62,1,31,21,8,23,0,133,16,9,1,4,7,16,41
___________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
effect,45,13,33,1,1,69,30,7,8,44,9,18,41,5,4,3,7,3,0,26,3,10,9,7,30,6
core,18,0,14,0,0,5,2,0,2,6,1,1,1,2,0,0,3,0,2,11,0,0,0,1,0,3
skill,48,3,640,39,4,33,163,2,13,27,39,4,13,18,18,12,11,1,65,9,10,3,21,36,8,48
_____________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inequ,19,0,1,0,1,48,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0
qualiti,86,31,91,13,15,134,38,33,66,104,39,204,130,16,53,21,60,29,56,225,21,25,96,34,83,34
__________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teach,72,17,46,10,3,4,58,2,45,36,59,21,53,16,39,44,78,5,35,22,1,14,58,10,40,13
profess,24,1,1,1,15,2,8,3,8,4,5,1,9,2,3,0,9,0,2,6,3,0,10,2,1,2
__________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
use,79,13,75,10,2,122,299,13,41,26,16,19,88,7,24,9,45,20,22,57,11,13,17,7,23,12
inform,54,5,68,8,14,40,168,18,34,43,26,44,103,11,18,28,15,2,17,33,40,10,19,7,27,6
communic,21,1,15,8,2,18,181,0,4,7,16,3,11,0,2,10,5,0,5,11,2,2,4,3,17,7
technolog,30,4,51,0,4,39,64,0,0,23,18,5,28,19,2,9,13,0,20,31,1,1,19,7,31,12
____________________,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physic,14,0,3,0,2,7,163,0,0,4,3,2,4,0,18,2,1,1,3,12,0,1,0,0,7,1
resourc,20,15,35,10,9,60,21,19,54,50,12,14,43,24,30,30,10,3,25,91,1,7,23,6,15,4
________________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
costeffect,6,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
manag,42,4,39,22,33,61,25,12,66,59,41,21,97,7,40,14,37,3,16,12,4,20,11,7,82,4
_________________________________________,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
object,123,4,43,15,19,72,67,20,21,101,21,16,71,2,3,19,6,1,94,13,4,8,20,3,59,3
________________________,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longterm,6,0,8,1,0,80,8,6,0,1,9,0,15,0,3,0,0,3,0,10,1,2,2,0,0,2
