,albania-education-strategy-2004-2015.pdf,armenia_educational_national_plan.pdf
republ,4,20
of,15,7
albania,8,0
ministri,8,7
educ,224,585
and,25,5
scienc,4,18
nation,80,62
strategi,25,1
decemb,1,2
content,22,12
acronym,2,0
use,41,2
in,24,28
this,44,0
report,46,3
introduct,2,38
part,39,17
a,92,4
prioriti,11,5
develop,303,109
issu,21,11
for,10,2
pre,54,30
univers,62,13
govern,52,35
reform,44,11
strengthen,19,4
manag,66,34
capac,54,1
central,53,4
offic,25,2
decentr,30,4
school,228,194
autonomi,12,7
inform,34,15
system,86,95
qualiti,66,15
assur,10,0
improv,25,39
the,138,111
teach,49,3
learn,41,9
process,85,18
curriculum,87,4
framework,23,3
ration,11,11
subject,46,15
articul,6,0
vertic,7,0
horizont,4,2
integr,16,14
structur,20,23
student,48,44
choic,9,0
inclus,7,1
vocat,75,3
teacher,144,31
better,16,0
forecast,3,0
demand,35,10
centr,7,0
train,115,46
condit,14,30
employ,11,7
merit,6,0
base,39,9
incent,6,0
scheme,8,0
registr,7,0
servic,54,15
profession,20,98
network,7,3
textbook,69,21
select,7,2
instruct,7,0
design,27,1
coordin,6,6
suppli,18,0
altern,35,0
privat,27,0
cost,60,0
recoveri,10,0
resourc,55,9
examin,19,0
monitor,44,0
intern,26,30
benchmark,14,0
financ,25,0
composit,4,1
instrument,5,1
transfer,17,13
fund,81,68
block,9,0
grant,12,5
local,54,17
recurr,5,0
expenditur,14,2
moe,117,0
account,28,2
transpar,21,0
budget,29,26
plan,43,60
increas,45,26
effici,17,11
sub,17,2
sector,69,9
communic,4,2
share,19,6
non,9,22
public,40,22
rais,13,0
tax,13,4
exempt,11,0
invest,16,1
realloc,4,0
program,24,117
mentor,15,0
support,44,9
build,20,14
human,15,3
conceptu,10,0
shift,11,5
cross,17,0
distribut,10,3
inspect,6,0
vs,5,0
facilit,11,0
elect,9,0
special,20,51
research,18,3
data,44,5
driven,14,0
polici,65,6
context,2,0
overal,6,1
major,12,1
characterist,3,2
signific,16,7
problem,6,24
surround,3,0
ve,39,0
object,21,19
goal,9,0
from,13,1
perspect,15,2
institut,29,167
vet,13,0
legal,7,7
financi,13,10
infrastructur,8,1
b,41,10
matric,9,0
includ,17,9
key,15,0
beneficiari,7,0
indic,23,0
timelin,11,5
matrix,19,0
c,40,8
implement,33,48
d,31,10
summari,7,0
estim,17,0
e,57,12
input,21,0
efa,1,0
fti,1,0
all,7,0
fast,1,1
track,3,0
initi,10,1
emi,30,0
eu,9,0
european,4,3
union,4,2
gdp,3,6
gross,2,0
domest,3,0
product,6,1
ingo,4,0
organ,8,42
isc,4,1
standard,19,8
classif,2,1
lsms,2,0
live,3,5
measur,4,4
survey,2,4
modlg,1,0
ncea,14,0
evalu,13,7
assess,9,8
nes,5,0
nssed,3,0
socio,4,0
econom,17,14
ngo,4,0
oecd,6,0
co,3,0
oper,15,19
papd,8,0
pbm,19,0
perform,27,12
ncvet,1,0
council,2,8
navet,1,0
agenc,14,5
wb,5,0
world,7,1
bank,5,0
current,32,17
version,1,0
owe,2,0
great,1,0
deal,3,1
reli,2,0
heavili,1,0
document,6,3
alreadi,4,2
formal,11,1
approv,30,41
albanian,5,0
june,1,2
chang,30,7
compar,6,15
previous,5,0
consist,3,1
larg,5,0
new,86,45
chapter,1,0
insert,1,0
elabor,1,71
upon,6,1
there,14,10
devot,1,0
consider,12,2
those,1,0
sentenc,1,0
make,17,14
close,8,2
deliber,1,0
refer,8,0
particular,10,9
viewpoint,2,0
expressli,1,0
state,8,159
fruit,1,0
arriv,1,0
effort,3,3
span,1,0
sever,7,8
year,23,56
made,18,2
specialist,2,9
foreign,9,4
counterpart,1,0
it,23,2
common,4,0
ground,1,0
work,29,7
high,16,6
stake,1,0
thus,4,5
show,1,0
deep,4,0
heartfelt,1,0
appreci,7,0
engag,17,0
endeavor,1,0
gratitud,1,0
extend,1,0
prestigi,1,0
irreplac,1,0
assist,12,4
render,3,0
their,1,0
underway,2,0
also,24,9
stage,2,1
elev,2,0
platform,2,0
within,14,19
stakehold,20,0
invit,1,0
invalu,1,0
contribut,13,3
crown,1,0
one,18,17
serious,2,1
attempt,1,0
intens,11,0
audienc,1,0
establish,42,32
dialogu,5,0
nurtur,1,0
good,4,0
understand,4,1
faith,1,0
among,8,12
various,18,7
actor,2,0
intend,3,0
guarante,1,8
modern,3,15
promot,7,10
instig,1,0
sustain,4,0
growth,3,3
economi,5,8
consolid,6,0
democraci,1,1
well,21,13
success,8,0
competit,5,11
countri,24,11
region,60,6
beyond,5,0
maintain,5,1
togeth,2,1
plenti,1,0
broad,1,0
consult,5,0
manger,1,0
parent,18,11
pupil,26,25
ngos,5,5
brow,1,0
peopl,55,3
etc,16,14
draft,12,10
two,7,8
identifi,12,1
area,18,11
need,86,26
address,5,2
outlin,1,0
strength,2,0
weak,2,0
possibl,9,2
action,5,5
enhanc,7,0
elimin,3,1
these,10,0
discuss,7,1
guid,11,2
best,7,3
principl,4,26
practic,16,9
exemplifi,2,0
four,2,0
focus,8,7
operation,1,0
specifi,2,0
associ,18,0
risk,11,0
assumpt,12,0
general,21,8
form,8,3
extract,1,0
narrat,3,0
descript,8,4
respect,9,10
henc,5,0
summar,1,2
separ,12,1
map,13,5
provid,37,51
sequenc,3,0
activ,55,30
note,16,0
section,9,0
along,5,0
dealt,3,0
present,8,2
unit,15,1
aggreg,3,0
rang,8,0
sourc,6,3
project,19,6
calcul,3,1
macro,2,0
level,111,79
taken,2,0
treat,3,0
detail,17,0
micro,2,0
procedur,24,1
relat,14,13
set,12,7
complement,4,0
model,35,0
bring,14,2
decreas,2,14
effect,9,1
administr,4,6
while,6,0
restructur,6,4
progress,5,7
rate,7,3
respons,32,4
decis,5,10
author,13,4
satisfactori,1,3
case,5,2
done,8,0
thank,1,1
worth,2,0
step,3,2
second,4,10
depart,13,4
red,1,0
eo,2,0
yet,7,3
subsequ,4,0
challeng,3,0
rise,2,0
concern,3,1
function,31,8
greater,2,0
clariti,1,0
job,8,1
role,33,1
defin,7,1
individu,6,12
task,15,0
ensur,19,0
mainten,15,8
minimum,17,0
appeal,2,0
provis,3,52
equiti,7,0
fair,2,0
multipl,3,0
point,4,5
audit,5,0
short,4,2
term,10,10
clear,16,2
flow,1,0
affili,3,0
center,9,9
commune,16,0
encourag,16,0
self,9,11
innov,9,3
expans,3,21
particip,9,4
hold,2,0
at,5,2
held,3,0
