x,y,z,label
9.808155,6.6467195,7.33481,education
9.592091,6.7074323,7.312162,higher
17.977186,6.55895,0.9150197,development
9.841656,6.534519,7.579469,institutions
14.833906,8.012423,3.110306,quality
13.587586,7.2355304,6.984756,educational
14.155677,7.577803,3.3605394,system
9.678946,5.265658,9.65295,school
15.035938,5.6442914,3.0109904,research
18.081148,7.651383,0.66039383,national
10.215745,5.2347803,10.423729,students
9.763424,6.472018,7.7847595,training
10.665342,5.766451,7.9952407,level
22.32818,2.5394633,10.059628,skills
9.775162,5.212816,9.77795,schools
10.723409,7.0985565,8.861931,programmes
20.021633,1.8863643,12.475433,learning
21.049011,3.6476278,10.157669,work
14.449258,7.2183824,7.9212728,support
16.237953,3.4695103,11.50809,also
20.52343,3.528638,4.4526243,new
13.049267,5.4091163,4.0580397,public
9.886535,6.590814,7.8915462,professional
18.348763,7.7308536,0.69424045,strategy
15.0771885,2.0772772,12.933685,pupils
17.231127,2.021304,14.165078,needs
22.168158,2.4619925,10.178717,social
19.796106,1.9817859,12.686442,teaching
10.136671,5.4279284,10.156636,teachers
20.445263,1.7525338,11.729652,information
12.139467,6.256842,9.583225,must
18.205355,7.921033,0.5900089,plan
10.106964,5.1476727,10.377761,number
17.919943,7.388461,0.7082376,implementation
11.124525,6.997473,9.159169,study
18.076517,6.644665,0.8795277,policy
18.45818,4.8750052,5.0801253,activities
13.026577,6.3186326,3.6735137,programme
17.98031,6.7418523,0.80123377,government
16.227495,7.4589515,1.3133682,framework
17.77078,7.471261,0.6745665,strategic
15.347609,8.187016,3.94642,evaluation
17.781311,3.8993826,1.8119277,international
15.957698,5.9220295,1.5765147,state
20.246265,6.246518,7.3364882,n
20.382784,0.9011166,10.998657,e
21.161072,1.9667176,11.017073,knowledge
16.757376,2.0746381,14.404963,children
9.324396,5.6675086,8.9496355,secondary
20.322624,1.7576302,11.776608,use
17.910307,2.888227,8.530857,based
17.220108,1.7489711,13.369637,services
14.644081,7.3800025,4.0101013,management
17.48756,7.5316195,0.6412921,republic
15.467782,1.8303498,13.435278,people
18.670055,3.1923223,4.0684648,areas
16.094868,7.1384163,3.9515133,process
14.115103,1.0685952,9.858391,well
11.789037,6.1075773,7.005897,basic
21.339678,3.907531,10.143766,youth
15.372779,4.262834,11.738059,time
17.67269,7.1219087,0.65572894,czech
15.958496,6.8526773,1.3793888,sector
16.599691,6.7083335,5.322439,develop
14.967174,4.5390162,11.867551,student
13.560464,6.163327,3.6033776,within
22.257486,2.4958324,10.087614,economic
13.460932,5.0946054,4.009604,funding
12.102641,6.1622157,9.68548,staff
22.14758,2.509923,10.125219,society
19.5107,1.9783598,11.0577965,resources
9.486726,6.1324887,8.307244,vocational
15.6735935,7.441711,1.9267089,european
21.015202,1.9783618,11.0081835,life
19.22013,6.7932024,1.456058,ireland
13.852842,6.3394217,7.936302,provide
12.19225,3.6716607,10.550652,increase
18.31636,6.4771233,0.9758004,department
9.788067,5.8179584,8.531232,general
18.341337,3.6393554,3.7675905,local
12.746332,7.58237,9.97983,universities
13.751488,5.3244333,6.1719337,ensure
12.978804,4.965045,6.2647166,levels
10.794548,4.7764792,10.141545,year
16.894222,2.0539923,14.326672,special
17.628279,2.0466046,14.138008,market
20.504408,3.1811602,10.136532,health
17.98052,2.810287,6.1184697,part
15.737609,6.225578,2.4004948,area
12.9843,3.817324,10.065398,one
11.972235,5.7440042,7.2351007,high
17.709352,3.1237452,10.332595,including
18.110962,6.6772695,0.9047627,objectives
10.612949,6.294377,8.60902,university
15.736797,0.5363105,10.638996,individual
19.664595,2.2307186,10.984303,necessary
14.321181,6.1026974,3.3492925,relevant
17.675035,5.4030223,2.2995636,measures
17.739622,3.8533509,1.8961139,innovation
19.917624,2.6899092,9.786057,important
