x,y,label
62.435986,-8.739405,education
61.954998,-9.105331,higher
45.799953,-5.2000446,development
62.502842,-8.666253,institutions
52.979477,-9.178177,quality
59.68076,-3.023518,educational
70.61945,13.216272,cid
54.641457,-8.62514,system
65.70589,-8.12242,school
44.918926,-1.0854274,research
45.24106,-8.672922,national
70.72335,-0.9648375,students
63.56356,-8.26184,training
64.11879,-6.6196404,level
43.398163,-6.360164,skills
65.89099,-8.0226555,schools
67.56553,-5.243898,programmes
72.257355,10.481436,learning
52.650856,0.8731229,work
60.958878,-2.3029072,support
67.77898,10.721091,also
48.506306,-3.9959981,new
56.849815,-2.925025,public
63.632206,-8.272005,professional
45.117496,-8.683112,strategy
65.72489,14.519475,pupils
70.88108,18.061893,needs
70.60136,15.835845,social
72.31295,10.398582,teaching
66.125824,-6.220281,teachers
71.432465,11.693025,information
68.015625,-2.835112,must
45.03087,-9.025068,plan
70.66685,-0.95288134,number
46.09228,-8.618388,implementation
68.09028,-4.673841,study
46.013786,-6.9939985,policy
60.387783,0.43040276,activities
56.000828,-7.587139,programme
46.942776,-7.3384757,government
47.09282,-8.931622,framework
46.491074,-8.610449,strategic
52.15262,-8.3645315,evaluation
45.470337,-1.2436533,international
45.891407,-4.0812035,state
43.593403,-4.3433986,n
65.77278,11.889587,e
70.66584,14.476864,knowledge
70.94387,18.549566,children
65.34525,-8.403267,secondary
71.43788,11.671678,use
62.023148,6.274054,based
67.52607,14.7493925,services
53.212234,-7.561902,management
46.860943,-8.514579,republic
69.783356,17.486362,people
51.804916,1.3999676,areas
51.790165,-7.099763,process
63.257397,-5.902723,basic
59.334156,12.686193,well
43.536877,-6.324608,youth
70.67775,6.696455,time
47.685593,-7.885115,czech
48.43997,-8.963295,sector
57.769955,0.04507759,develop
70.79935,6.66392,student
55.66148,-6.902768,within
70.51548,15.717442,economic
56.713364,-2.8765857,funding
67.08229,-2.4326932,staff
70.51106,15.8493,society
70.3638,11.242025,resources
64.51043,-8.212121,vocational
48.81126,-8.554214,european
70.42702,12.728661,life
45.136387,-6.811962,ireland
61.256363,-2.5774052,provide
65.33945,14.500206,increase
45.8663,-6.772681,department
64.49473,-7.304844,general
51.950226,1.3668643,local
69.532074,-3.7826974,universities
59.261715,0.16733666,ensure
69.63937,-0.43882278,year
61.141346,-4.6690683,levels
70.93137,18.442207,special
71.010544,17.118443,market
67.26506,16.640768,health
56.98626,4.3394227,part
55.703033,-6.3440204,area
69.71435,6.5646663,one
62.11918,-5.864531,high
59.978786,9.327603,including
64.75544,-6.432381,university
46.326206,-6.758708,objectives
66.183395,10.960169,individual
55.265686,-6.416587,relevant
70.04439,11.824509,necessary
49.23794,-5.356956,measures
45.69887,-1.1644951,innovation
66.3549,7.435647,important
68.08692,10.978032,subject
65.284676,-6.3504634,teacher
68.048676,-0.2601884,years
67.71924,12.120292,need
58.55206,-1.1762568,improve
54.818733,-6.6057177,field
63.35534,0.61386764,basis
59.85956,5.3534617,specific
57.768257,0.05688945,developing
67.81514,-4.9275756,degree
64.537415,2.4986362,order
65.26747,-8.063346,pre
70.9884,16.674873,labour
47.76963,-2.9654276,term
45.232292,-8.751474,action
60.99373,-2.8534138,access
70.71615,10.087173,outcomes
67.38792,-4.125585,academic
51.7467,-6.543517,performance
49.792854,-5.9545026,period
47.381054,-5.7918634,objective
65.402534,-8.03856,primary
49.799397,-1.3897749,key
70.45472,1.8544294,non
68.26434,12.567906,employment
69.81445,2.5856774,expected
61.105015,-2.5790052,provision
48.797886,-4.0464215,curriculum
67.99446,-3.6099732,studies
54.686054,-7.479039,service
53.818398,-6.682001,developed
70.97678,1.7430993,per
61.435814,6.2788873,assessment
53.693554,-8.403504,standards
57.452206,-5.2528634,institution
51.513664,0.096818045,regional
47.88867,-8.85345,ministry
52.073067,-8.013782,external
68.92831,7.371568,may
52.252052,-9.629037,assurance
54.177795,-2.4465876,cooperation
69.734146,14.237543,environment
69.086914,10.098346,conditions
65.76155,8.7500305,content
65.17697,-6.2949586,programs
70.12517,15.621659,economy
58.558193,-1.183819,improving
69.11987,11.3843565,opportunities
48.299946,-8.836547,science
67.7232,9.62249,make
69.65366,12.090613,language
67.279884,10.3758135,various
68.90849,1.9707806,current
66.76471,8.33046,etc
62.079716,0.812356,practice
66.89135,4.784184,data
70.11196,10.36433,experience
53.463882,-8.047938,improvement
66.44008,10.118077,better
58.31574,2.4530857,community
67.56592,12.077033,working
68.44612,16.077068,future
68.14381,7.6282334,subjects
46.74132,-2.3978004,sustainable
68.333336,16.348166,world
57.515785,5.578865,making
59.460876,2.6006536,sectors
49.17109,-5.623336,program
55.710293,5.077118,focus
64.43353,8.762098,different
63.97072,3.6565335,role
69.76663,13.898906,human
63.165783,12.725512,changes
47.58439,-4.1960506,v
49.984184,-3.859902,set
68.05931,7.8268547,forms
63.189533,1.9271791,requirements
69.56457,-3.7134678,applied
63.29608,11.215773,participation
69.60362,-3.6730452,sciences
65.10454,-5.958669,technical
67.05122,6.606546,foreign
65.48218,13.2183075,increasing
61.867775,0.9074843,good
67.99896,9.046194,financial
64.412895,-1.3065631,provided
67.79117,8.991336,available
61.81117,0.86105734,results
70.59524,11.943231,communication
47.661552,0.42830366,planning
46.184227,-6.041579,report
64.808426,7.0170436,possible
65.20775,7.4486976,range
47.681637,-5.7583976,indicators
46.383953,1.6812857,eu
66.56452,13.514615,groups
50.593517,-3.4896297,following
53.779404,-7.8623486,accreditation
45.547123,12.478024,long
62.58918,3.1062744,place
47.884354,-3.824375,progress
66.79045,8.8250885,appropriate
60.602474,7.078847,self
65.83797,17.461166,take
61.80225,10.926969,model
66.199615,6.130252,towards
61.968254,7.460237,technology
52.54347,-6.372521,institutional
68.86192,12.702535,personal
46.625877,-4.313792,council
64.6693,6.916076,therefore
63.830147,4.20138,related
62.675537,-5.6149383,early
51.428955,-0.826185,activity
43.649452,-4.3700814,q
61.29083,-2.4539752,providing
70.80752,10.453296,methods
65.27705,4.209132,group
69.92365,15.27659,cultural
52.750675,-5.744141,systems
69.657715,-0.34394082,rate
43.78253,-4.4091854,des
63.640697,6.344837,among
46.39104,-5.4573317,actions
68.35855,7.7628474,form
70.863815,1.8597699,expenditure
66.79858,5.8138437,change
51.730396,-3.955816,review
67.61734,-4.362472,master
66.41352,-2.9436116,courses
60.24702,10.532261,scientific
50.980404,0.7596061,capacity
55.085075,-7.049761,qualifications
61.283592,8.13886,create
60.70219,3.9330957,budget
69.69254,17.48238,young
68.86198,1.5128618,total
54.952225,21.066216,physical
55.563297,-5.212139,reform
65.18027,5.8242917,made
52.215214,-5.7527537,monitoring
67.82547,2.1445608,first
63.48819,12.443931,significant
71.11992,10.089401,lifelong
67.70567,5.1007595,using
50.781937,-0.17922309,principles
55.11867,-6.146057,act
53.204956,8.648849,impact
66.4322,-3.0042882,graduates
54.330624,2.573511,across
59.01686,13.1728115,increased
65.56608,11.740791,g
64.27312,2.6827343,processes
64.883934,13.307519,population
62.790173,2.6395915,existing
62.124752,4.619798,however
40.53041,20.098976,administration
57.32535,10.260913,particular
64.43583,7.3140793,employers
64.55443,2.948676,effective
48.266956,-0.101377405,decision
50.844845,16.832672,top
56.482655,6.8299217,approach
50.035034,-3.5032995,plans
54.099773,-4.3420877,established
58.810104,4.7835374,business
54.6474,9.184759,countries
59.816906,8.867991,infrastructure
60.4157,2.53631,c
55.54662,4.1496596,include
60.813866,3.876978,funds
62.03741,12.018892,terms
56.7521,-2.427968,private
45.106766,4.6097336,priority
55.532845,0.045172334,p
62.19306,2.6902978,according
64.373924,9.9843645,greater
67.879944,11.335659,problems
67.55673,14.799306,learners
67.89407,16.836407,growth
63.980625,9.367564,practical
56.06307,-5.638472,financing
54.00422,-2.5401397,culture
67.598526,2.5127094,two
53.773933,6.7147894,cross
50.02542,-0.27971798,policies
46.743935,-2.2815995,goals
58.196697,4.8151317,central
66.59251,16.967337,potential
62.558372,-1.3829299,structure
67.83701,-3.497576,doctoral
60.103333,6.5261283,used
58.98523,4.925247,country
52.86251,-4.2305055,project
60.654182,8.35977,creating
55.45669,-4.8857126,introduction
67.31998,8.923119,tools
53.61229,6.817078,issues
46.24005,-5.8242006,goal
45.1762,-8.2986765,page
53.14269,-6.5006537,mechanisms
54.564384,7.111207,responsibility
46.917942,19.740925,r
58.18432,7.8582816,importance
51.73717,5.6650286,projects
69.27844,7.2099695,full
45.317333,1.4204636,internal
66.73478,6.0230546,demand
55.727463,7.24778,strengthening
59.0876,8.902016,integration
47.097572,-5.452677,strategies
63.274952,9.412571,competencies
64.87263,14.843809,parents
53.451572,-5.0437937,operation
46.958538,-1.3205351,implement
51.358433,-6.221488,agency
61.853794,7.7127767,ict
55.37857,4.615194,strengthen
