label,labels
never,-1
web,-1
executive,-1
disappear,-1
penetrated,-1
extremely,-1
one,-1
leveled,-1
dropped,-1
thousand,-1
team,-1
services,-1
regional,-1
suffered,-1
destroyed,-1
like,-1
poorly,-1
broken,-1
shifted,-1
armenians,-1
harmonize,-1
right,-1
intensification,-1
bodies,-1
st,-1
rearrangement,-1
gained,-1
compliance,-1
service,-1
reflected,-1
gradually,-1
worn,-1
day,-1
local,-1
something,-1
going,-1
tends,-1
past,-1
describing,-1
healthcare,-1
hygienic,-1
densely,-1
closely,-1
still,-1
turning,-1
imperfect,-1
totaled,-1
get,-1
folds,-1
thee,-1
practically,-1
studentship,-1
completely,-1
individually,-1
tendency,-1
medical,-1
severely,-1
even,-1
rehabilitated,-1
business,-1
almost,-1
got,-1
incomplete,-1
deprived,-1
roofing,-1
considerably,-1
stays,-1
nights,-1
grows,-1
somehow,-1
administrative,-1
grouped,-1
sciences,-1
carried,-1
ignored,-1
back,-1
realization,-1
dissemination,-1
partially,-1
achieved,-1
financial,-1
blackboards,-1
distant,-1
new,-1
staffing,-1
always,-1
social,-1
sector,-1
outflow,-1
top,-1
worse,-1
attached,-1
accomplished,-1
elaborated,-1
development,-1
last,-1
job,-1
agency,-1
tv,-1
free,-1
younger,-1
channeled,-1
entitlement,0
strict,0
reimbursement,0
contractual,0
formula,0
motivation,0
centralization,0
narrowly,0
duplication,0
definition,0
offered,0
profile,0
final,0
democratic,0
abilities,0
preferred,0
projection,0
perspectives,0
entire,0
components,0
proportions,0
mismatch,0
stage,0
harmonized,0
justified,0
item,0
loaded,0
location,0
populated,0
area,0
libraries,0
loans,0
space,0
refurbishment,0
term,0
electronic,0
contextual,0
inefficient,0
reasoned,0
revenue,0
proceed,0
predicted,0
long,0
arrangement,0
covering,0
legal,0
minimal,0
radical,0
rationalization,0
fact,0
relationship,0
supporting,0
privileges,0
numbers,0
support,0
filled,0
balanced,0
lives,0
interest,0
structural,0
favorable,0
necessity,0
natural,0
patriotic,0
universal,0
creative,0
spiritual,0
active,0
potential,0
mental,0
progress,0
distinction,0
focusing,0
heading,0
open,0
clear,0
contributing,0
human,0
promotion,0
life,0
ecological,0
researches,0
multi,0
direction,0
sided,0
strategic,0
impair,0
presented,0
contribution,0
achievements,0
lawful,0
product,0
including,0
gradation,0
third,0
evaluation,0
overloaded,0
employment,0
dictate,0
societal,0
statistical,0
securing,0
shifting,0
adjustment,0
distribution,0
stable,0
emergency,0
qualifications,0
filed,0
interaction,0
critical,0
grade,0
makes,0
citizens,0
survey,0
prevention,0
measures,0
phase,0
phases,0
humane,0
degrees,0
public,0
undertaking,0
organizational,0
safety,0
outdated,0
update,0
quick,0
resolution,0
conflict,0
sociology,0
physiology,0
background,0
vast,0
necessary,0
unemployment,0
phenomena,0
role,0
change,0
anthropological,0
democracy,0
connected,0
violence,0
informed,0
force,0
regularly,0
concept,0
propaganda,0
values,0
bearing,0
achievement,0
class,0
channeling,0
chain,0
ideological,0
independent,0
upbringing,0
division,0
requires,0
coordinating,0
summarizing,0
architect,0
source,0
transfer,0
fast,0
focus,0
together,0
consequence,0
preparation,0
attainment,0
ideology,0
clarified,0
updated,0
generation,0
growth,0
directed,0
identified,0
mapping,0
sphere,0
issue,0
separate,0
diaspora,0
complex,0
efforts,0
modern,0
situations,0
plans,0
gap,0
bringing,0
limitation,0
connection,0
prospective,0
innovative,0
negligence,0
reduction,0
concern,0
particular,0
markets,0
labor,0
conformity,0
imposed,0
methods,0
teaching,0
practice,0
theory,0
unsatisfactory,0
meet,0
pending,0
left,0
met,0
sanitary,0
rhythm,0
breaks,0
destruction,0
devices,0
electric,0
amendments,0
heaters,0
stoves,0
heated,0
classrooms,0
solved,0
heating,0
bathrooms,0
renovation,0
oil,0
furniture,0
laboratory,0
equipment,0
library,0
localization,0
translation,0
resolved,0
imported,0
volume,0
literature,0
publications,0
variety,0
limited,0
strictly,0
communication,0
computer,0
practical,0
test,0
materials,0
didactic,0
partial,0
capital,0
satisfactory,0
buildings,0
dissolution,0
continuation,0
absolute,0
insufficiency,0
severe,0
sects,0
relation,0
parent,0
lessons,0
function,0
weakened,0
psychological,0
curricula,0
fixed,0
individual,0
forming,0
vacant,0
additional,0
place,0
changing,0
type,0
construction,0
zone,0
disaster,0
many,0
warring,0
earthquake,0
building,0
ten,0
material,0
whole,0
socioeconomic,0
braking,0
street,0
interests,0
unification,0
completeness,0
accessibility,0
profiles,0
additions,0
ministry,0
documents,0
integrated,0
broadcasting,0
bilateral,0
universities,0
page,0
sister,0
direct,0
visit,0
environments,0
matching,0
guidebook,0
guidelines,0
target,0
eurostat,0
comparable,0
experts,0
contest,0
aged,0
computerized,0
lori,0
humanitarian,0
opening,0
prior,0
focused,0
physiologist,0
worker,0
discount,0
applicants,0
called,0
marks,0
opportunities,0
extern,0
postponed,0
quotas,0
dedicated,0
exhibition,0
competitions,0
foundations,0
conferences,0
differentiated,0
inter,0
tours,0
foreign,0
procedures,0
march,0
ministries,0
transferring,0
mis,0
database,0
screening,0
commissions,0
mpps,0
republican,0
marz,0
charters,0
mpp,0
dealing,0
transferred,0
results,0
alumni,0
trips,0
annual,0
signing,0
grants,0
donor,0
proposal,0
project,0
submission,0
copernicus,0
inco,0
tempus,0
union,0
supported,0
bibb,0
undp,0
unesco,0
cis,0
unions,0
agreements,0
understanding,0
august,0
strategy,0
faculty,0
architectural,0
workforce,0
regions,0
defined,0
structuring,0
served,0
outcomes,0
zones,0
lists,0
initiation,0
subscription,0
organizing,0
investors,0
modification,0
equipping,0
printing,0
guidebooks,0
workshops,0
unnecessary,0
chairs,0
june,0
testing,0
basics,0
contract,0
descriptions,0
differentiation,0
bachelors,0
upon,0
goris,0
kapan,0
nd,0
temporary,0
letters,0
december,0
newly,0
conference,0
acad,0
unemployed,0
craftsmen,0
reasonable,0
economists,0
tables,0
chemistry,0
october,0
july,0
discussion,0
forces,0
armed,0
officers,0
preperation,0
tutor,0
titles,0
annul,0
assigned,0
housing,0
working,0
borderline,0
remote,0
supplementary,0
conducting,0
drills,0
biology,0
schoolchildren,0
consisting,0
physics,0
bias,0
moving,0
accomplishment,0
guides,0
involving,0
step,0
events,0
athletic,0
festivals,0
environmental,0
youth,0
teenagers,0
complexes,0
deputy,0
physicist,0
positions,0
recommendations,0
sub,0
memebers,0
authorities,0
methodical,0
military,0
action,0
psychology,0
course,0
rehabilitation,0
enrichment,0
restoration,0
description,0
tariff,0
reproduction,0
priorities,0
identification,0
modernization,0
preparing,0
restructuring,0
communities,0
extension,0
sponsoring,0
care,0
targeted,0
locations,0
optimization,0
rational,0
spheres,0
leisure,0
nutrition,0
varieties,0
accessories,0
studios,0
crafts,0
laboratories,0
internal,0
redistribution,0
centralized,0
resumption,0
repairs,0
inventory,0
catalogues,0
density,0
charitable,0
radio,0
managerial,0
planning,0
faculties,0
office,0
rector,0
units,0
elaboration,0
side,0
ngos,0
