label,labels
culture,0
republican,0
community,0
professor,0
cultural,0
independence,0
screening,0
european,0
armed,0
market,0
officers,0
tutor,0
secondary,0
century,0
general,0
foreign,0
promotion,0
rural,0
professors,0
kindergarten,0
lecturer,0
student,0
admission,0
athletic,0
rating,0
festivals,0
extension,0
per,0
multi,0
instruments,0
alumni,0
military,0
youth,0
civil,0
deputy,0
draft,0
various,0
catalogue,0
authorities,0
nursery,0
local,0
annual,0
universal,0
discounts,0
selection,0
inter,0
broadcasting,0
membership,0
courses,0
appointment,0
sample,0
professional,0
conferences,0
progressive,0
bachelor,0
web,0
units,0
rector,0
preschool,0
agency,0
graduates,0
code,0
diploma,0
crafts,0
tours,0
formula,0
tuition,0
directors,0
licensed,0
staff,0
boarding,0
operation,0
faculty,0
cis,0
exhibition,0
reviews,0
orientation,0
worker,0
discount,0
links,0
proposal,0
ph,0
donor,0
athletics,0
regional,0
et,0
presented,0
russian,0
limited,0
variety,0
center,0
literature,0
assembly,0
doc,0
published,0
transfer,0
network,0
locations,0
translation,0
sociology,0
minimal,0
rewards,0
survival,0
rental,0
electronic,0
concept,0
urban,0
industrial,0
propaganda,0
division,0
textbook,0
magazines,0
formation,0
conference,0
chain,0
newly,0
brief,0
labor,0
leisure,0
location,0
formal,0
global,0
arts,0
electric,0
studios,0
university,0
republic,0
accessories,0
workshops,0
printing,0
entrance,0
citizen,0
capital,0
modern,0
charter,0
fitness,0
subscription,0
program,0
furniture,0
pilot,0
theory,0
introduction,0
international,0
council,0
individually,1
revolving,1
reinforcement,1
displayed,1
totaled,1
considerable,1
guiding,1
undergoes,1
readjustment,1
imperfect,1
granting,1
handicapped,1
partially,1
formed,1
exceeding,1
calculated,1
coordinated,1
distributed,1
proportional,1
utilized,1
resulting,1
decree,1
attaining,1
reflected,1
steadily,1
transferred,1
constitutes,1
soaring,1
equipped,1
emerged,1
shifted,1
implemented,1
prohibited,1
totaling,1
gradual,1
methodical,1
folds,1
obligatory,1
resulted,1
characteristic,1
insufficient,1
crises,1
exemplary,1
exceeds,1
severely,1
projected,1
tendency,1
grouped,1
considerably,1
situated,1
staffed,1
adequately,1
pupil,1
maintained,1
moreover,1
addressed,1
channeled,1
economically,1
workload,1
decreasing,1
incomplete,1
uncoordinated,1
comparable,1
acute,1
faculties,1
overloaded,1
clarified,1
identified,1
accumulation,1
enjoyment,1
residing,1
entities,1
lawful,1
prevail,1
sided,1
impair,1
consequence,1
operates,1
variations,1
physiological,1
gradually,1
adopting,1
consisting,1
stipulated,1
discrepancy,1
unequal,1
respectively,1
decreased,1
wold,1
employing,1
unsatisfactory,1
imposed,1
conformity,1
heaters,1
partial,1
satisfactory,1
descriptions,1
sanitary,1
hygienic,1
braking,1
completeness,1
penetrated,1
weakened,1
forming,1
timelines,1
bearing,1
inefficient,1
attachments,1
centuries,1
channeling,1
ideological,1
upbringing,1
reasoned,1
rationalization,1
phenomena,1
limitation,1
populated,1
narrowly,1
dispersed,1
harmonize,1
decrees,1
proportions,1
phases,1
totals,1
pupils,1
unsolicited,1
undertaking,1
assigned,1
constitute,1
distinction,1
justified,1
annually,1
unclear,1
hindered,1
mechanism,1
borderline,1
whereas,1
varies,1
inadequate,1
threshold,1
hinder,1
adjusted,1
leveled,1
contradictions,1
mechanisms,1
necessary,2
critical,2
achieved,2
rational,2
resolved,2
strict,2
measures,2
concern,2
manner,2
improved,2
mutual,2
responsibilities,2
conflict,2
causes,2
proceed,2
guaranteed,2
psychological,2
equal,2
situations,2
severe,2
objective,2
values,2
demanding,2
interests,2
adequate,2
recognition,2
aimed,2
connections,2
demands,2
requires,2
regularly,2
stable,2
effective,2
necessity,2
possess,2
abilities,2
poverty,2
possibilities,2
directly,2
sufficient,2
entitled,2
increase,2
creates,2
caused,2
factors,2
knowledge,2
beneficial,2
aspects,2
qualities,2
difficulties,2
existing,2
causing,2
priorities,2
balanced,2
negative,2
interaction,2
population,2
decline,2
suffered,2
dictate,2
lack,2
shifting,2
heating,2
applied,2
delays,2
conditions,2
aspect,2
selective,2
achieving,2
developing,2
condition,2
contrary,2
difficult,2
inequality,2
gender,2
focusing,2
reliable,2
implement,2
barriers,2
efficient,2
standards,2
solved,2
developed,2
unemployed,2
significantly,2
dealing,2
established,2
tends,2
statements,2
continuous,2
reasonable,2
defined,2
popularity,2
amounts,2
accomplishment,2
temporary,2
possibility,2
unnecessary,2
socially,2
vulnerable,2
guarantee,2
ratio,2
revised,2
grows,2
opportunities,2
principle,2
provided,2
existence,2
wages,2
increased,2
outcomes,2
depending,2
capacity,2
objects,2
particularly,2
legitimate,2
temporarily,2
levels,2
guarantees,2
significant,2
types,2
importance,2
objectives,2
involves,2
approval,2
