x,y,label
55.87383,30.715212,education
55.890812,31.466595,higher
41.71051,18.582663,development
56.311317,30.832233,institutions
45.532368,24.267595,quality
53.119423,25.254745,educational
47.25407,24.709097,system
60.227367,31.260324,school
48.06579,21.255455,research
40.099895,19.486496,national
61.599705,30.533161,students
56.725834,31.004442,training
57.033154,29.26779,level
74.39108,11.146659,skills
60.413837,31.164385,schools
58.361607,28.956245,programmes
71.79433,6.9933534,learning
72.11355,12.5949,work
59.477184,16.376759,support
65.256325,11.735036,also
43.406605,12.856335,new
50.64729,23.895863,public
56.79223,30.808546,professional
39.719482,19.148195,strategy
71.61051,18.020199,pupils
74.27505,15.22687,needs
74.10824,10.908906,social
71.65036,6.7237287,teaching
61.151707,30.637453,teachers
71.95378,8.153195,information
59.770813,25.993666,must
39.484184,19.601137,plan
61.612423,30.637367,number
40.59413,19.47785,implementation
58.693485,28.364649,study
41.498123,18.59269,policy
53.458385,14.985159,activities
49.473804,24.995722,programme
41.42713,18.950333,government
42.849514,21.821379,framework
40.656975,19.778736,strategic
45.762035,25.121971,evaluation
45.627132,15.051663,international
44.87961,20.49065,state
69.43143,19.880037,n
69.69093,6.6179833,e
72.83083,9.293014,knowledge
74.46433,16.039017,children
58.84564,31.796135,secondary
71.790855,7.9911966,use
62.40748,11.804796,based
72.7493,15.019528,services
46.71501,23.22488,management
40.88406,20.262644,republic
72.41,17.305712,people
50.28196,13.0234165,areas
46.94153,21.491274,process
63.458282,17.61654,well
54.51527,26.812082,basic
72.43551,12.822956,youth
66.343376,22.359135,time
41.26943,19.669659,czech
43.605316,21.216805,sector
51.42531,19.642712,develop
66.243416,22.892607,student
49.19881,24.15556,within
74.21908,11.00173,economic
50.310425,23.057781,funding
59.874958,26.260708,staff
74.07672,11.073047,society
69.76353,8.922758,resources
57.68099,31.456333,vocational
43.934483,22.442759,european
72.665535,9.287906,life
40.34862,17.137482,ireland
57.182137,22.88264,provide
64.0616,23.091599,increase
41.465664,18.08572,department
58.30463,30.974323,general
49.588497,13.976976,local
59.85641,24.646685,universities
54.627846,23.23316,ensure
54.99536,24.301231,levels
61.635788,29.229637,year
74.40439,15.824899,special
74.35294,14.530875,market
71.33375,12.083808,health
57.01835,12.469892,part
45.83685,20.904,area
62.322445,22.789562,one
55.627476,26.359457,high
66.88549,12.179786,including
41.43211,18.594688,objectives
57.92594,29.54976,university
63.50798,6.3041596,individual
70.33309,9.355624,necessary
48.699577,22.918312,relevant
44.800823,17.213717,measures
45.726597,14.974228,innovation
70.144264,11.123079,important
65.09864,15.39995,subject
57.82791,29.782785,teacher
63.26855,22.895575,years
66.0351,11.694473,need
46.174706,8.547306,improve
48.887733,23.744062,field
55.810726,24.313553,basis
51.031956,14.7034,specific
51.65801,19.594837,developing
58.53787,28.69232,degree
58.03037,22.30207,order
58.999046,31.306618,pre
74.43471,14.14034,labour
42.54263,16.94339,term
39.943047,19.473568,action
53.91792,25.366158,access
70.50028,7.9812098,outcomes
59.181103,26.885578,academic
45.146877,18.967848,performance
45.25588,20.975773,period
43.781628,18.220211,objective
59.185287,31.316484,primary
43.29298,15.460346,key
62.98575,27.38474,non
69.23356,14.389524,employment
55.040897,20.37666,expected
56.680466,22.874273,provision
50.77585,25.065237,curriculum
59.032967,27.475307,studies
48.498215,24.304752,service
48.069336,23.041536,developed
63.58696,27.854265,per
61.103386,13.05107,assessment
56.653145,26.58513,institution
46.743805,24.17816,standards
49.06663,15.642945,regional
42.880985,21.487654,ministry
45.80195,25.217232,external
64.70679,15.051218,may
44.53748,23.602394,assurance
51.045033,16.576178,cooperation
72.105064,10.488932,environment
66.24079,12.927737,conditions
58.30228,21.88192,content
57.84146,29.757875,programs
73.61904,11.133779,economy
46.179256,8.529007,improving
66.55835,11.449861,opportunities
43.24301,21.310728,science
64.6608,14.201073,make
70.49325,8.759415,language
69.75959,10.807101,various
63.494835,26.094929,current
68.016624,13.848431,etc
62.144794,12.66394,practice
67.78135,16.000872,data
70.47377,8.638253,experience
46.896767,23.642103,improvement
63.208454,6.4382253,better
55.879417,14.946076,community
67.201675,9.070098,working
65.543396,0.15613908,future
61.41163,23.17319,subjects
43.0,15.954796,sustainable
72.02374,11.164668,world
68.66264,10.855107,making
52.159977,16.727219,sectors
45.298935,20.760962,program
58.96802,13.220863,focus
60.388546,21.079502,different
56.51307,14.39103,role
72.31549,10.588354,human
57.117474,-0.6506615,changes
43.595695,13.338871,v
45.499054,16.916538,set
65.49165,13.966639,forms
57.575912,21.561089,requirements
59.974743,24.418148,applied
66.84448,12.498053,participation
60.031643,24.306795,sciences
57.649918,30.251318,technical
65.426704,14.557581,foreign
65.75569,19.99997,increasing
61.641308,12.1123085,good
66.41708,14.13558,financial
55.179764,20.043388,results
65.104836,13.183953,available
57.96405,25.208736,provided
71.935646,8.389519,communication
41.914436,16.231508,report
47.294876,14.288004,planning
64.138855,14.20689,range
64.25608,14.537661,possible
44.579124,18.695078,indicators
46.46805,15.431072,eu
70.79807,17.516666,groups
47.273907,18.534994,following
46.754524,24.229586,accreditation
45.67201,11.656761,long
62.111492,15.428049,place
42.42265,15.784124,progress
66.38567,13.470909,appropriate
61.411007,11.937119,self
68.932495,12.250627,towards
66.718155,8.3353405,take
62.347862,15.643661,model
69.12115,10.390352,technology
47.386574,21.477339,institutional
43.96046,16.80053,council
70.73131,10.665852,personal
64.344345,14.211089,therefore
66.78715,15.933486,related
54.19302,26.343143,early
69.17492,19.626543,q
54.20414,15.38028,activity
57.415524,23.111359,providing
70.98082,7.5372176,methods
66.48208,16.740028,group
72.6051,10.888708,cultural
49.56257,19.714212,systems
61.73284,29.232994,rate
69.0755,19.484053,des
60.66619,22.146582,among
65.132195,15.268401,form
42.14478,17.294697,actions
68.26281,14.675053,change
63.800335,27.259224,expenditure
49.42261,18.71887,review
58.47361,28.154228,master
59.800854,26.7613,courses
60.518982,27.154016,meys
55.349586,13.68305,capacity
59.3305,10.462271,scientific
62.07566,9.992972,create
48.79516,23.967602,qualifications
54.32898,19.351583,budget
61.538433,27.250574,total
72.29475,17.401043,young
53.527714,-12.003448,physical
50.365807,22.66773,reform
63.04585,15.420475,made
48.676735,20.181368,monitoring
61.71278,23.629665,first
65.087944,8.397994,significant
70.598854,7.734723,lifelong
68.59651,15.6939125,using
51.17451,13.941561,principles
52.0623,15.918416,across
60.238575,27.262571,graduates
61.62006,22.018705,increased
49.51939,23.50048,act
54.63081,10.6314945,impact
68.601845,6.1696587,g
43.162773,-20.916145,administration
58.915268,21.762459,existing
66.22452,19.831562,population
57.370388,7.4138784,however
66.44126,15.091369,processes
56.129776,3.7136157,particular
65.61909,11.495853,employers
62.488827,10.9947,effective
54.350853,12.344262,decision
55.490654,-3.022811,top
54.662163,9.004525,approach
