x,y,z,label
3.165231,-7.153472,-21.31377,government
-0.064997815,25.861366,-13.278914,montenegro
4.8308053,-1.3152373,-15.612494,ministry
6.8401613,5.1667566,-10.875079,education
7.9174533,3.3450186,-10.540977,strategy
7.568212,4.2402506,-10.685897,development
3.8400428,-10.561967,3.1827676,higher
-2.3565543,27.33945,-10.295058,podgorica
33.488815,-1.3695544,-3.333303,july
11.545994,8.61397,2.6903725,introduction
5.741775,2.7785792,-9.947447,strategic
25.37107,7.7855673,-21.071861,goal
5.0713177,-25.019701,2.0325875,develop
5.264984,-11.074032,8.026221,effective
27.802612,-2.8785896,10.6375675,high
12.250599,1.4185226,6.0103464,quality
8.038267,1.6438302,5.7365317,system
7.4653707,5.415219,-11.19356,research
12.510375,20.498127,20.323997,foster
28.103664,18.072592,-1.0643473,social
3.2102535,-10.839504,-6.961926,economic
11.121636,-14.98941,11.223429,society
7.7124896,-21.389181,9.328712,equal
11.433067,-12.807608,8.536187,opportunities
30.785217,7.2334075,2.7398663,line
4.7773743,-18.987146,12.381635,principles
11.751498,-13.981878,12.487563,freedom
2.1072507,-9.155571,-18.472927,democracy
4.7442627,-28.280766,6.3614264,achieving
7.2559752,-24.677485,-10.517023,stated
-4.1105733,-21.07837,15.749712,objective
-21.308542,-14.648313,7.67611,entails
2.4052217,5.664152,-11.457994,implementation
15.43962,1.965627,17.4017,large
32.184395,6.0516233,2.4184353,number
6.980823,-10.396711,-5.72437,measures
12.637722,5.297328,-15.835178,activities
8.0686035,-23.020714,0.8879016,contribute
7.0067744,-10.659668,9.304705,improvement
5.1410036,1.3760387,-10.871735,sustainable
3.924445,-11.79295,11.434995,stable
6.3451033,-5.6307898,-8.51557,funding
-4.9691253,-20.374775,-2.4072375,adequate
13.646429,-15.391096,3.1014526,response
0.047401924,-6.2506714,-23.16794,labour
7.1548634,6.836731,-7.336402,market
31.713608,-23.623154,0.7372516,needs
15.565987,13.328524,-21.944529,degree
-19.959368,6.944664,-0.46440145,internationalization
-4.8564234,-12.466816,9.29551,strengthening
0.12698565,0.3271131,7.3916564,component
19.44424,24.995409,10.7518835,role
1.1775686,-25.438261,2.5535743,producing
3.4444563,-14.054697,23.682417,competitive
-5.8826013,-31.874187,6.6817083,competent
14.112699,-16.372656,10.906455,human
4.1493115,4.0123324,-4.680453,resources
28.929516,-22.183825,-1.3880713,also
6.8279586,-13.868152,6.06919,impact
11.464394,-16.41351,5.3616166,changes
27.611845,20.46801,-1.6833036,actual
3.85289,-0.087935515,-20.605925,institutions
7.8257823,3.0016615,-14.973213,organization
8.954894,-15.830566,3.2761326,terms
10.999068,-8.7975,9.267471,teaching
0.6320818,2.5872476,-2.574043,assurance
14.799155,-29.227097,-2.2154415,recognise
24.962708,-13.365012,0.53644574,making
-7.221838,-12.276512,-7.677739,continuous
5.9215865,-3.054266,-12.307774,contribution
-17.67456,3.4876366,-15.2850065,emancipation
-21.950583,-10.985063,-4.5145764,preserving
-22.099413,-10.504326,-11.031742,recognising
11.617628,15.55119,-10.263212,traditional
3.2418091,-11.027584,14.846175,identity
4.682044,-19.11877,12.275937,values
3.0760744,9.087462,9.98119,contemporary
0.63954216,-25.431625,13.60035,aspirations
15.778841,25.239937,-14.2266245,mission
-6.9968576,-19.454758,7.4493012,objectives
-21.45591,21.179667,1.7415183,harmonized
23.084179,26.927794,9.026175,eu
7.0887094,3.5710611,0.5398937,documents
16.843264,18.99537,-8.644855,europe
-20.81353,-12.322821,-13.035727,rethinking
-10.377512,1.2874461,-4.529696,modernization
25.285471,25.652084,1.8494518,etc
7.1898794,-14.489563,5.567265,current
14.421337,-19.8067,6.787628,situation
16.723948,-14.551611,-1.9602132,within
5.851502,2.8109045,-11.921841,innovation
-12.385384,-4.595291,4.292954,competitiveness
18.08261,7.6540437,1.0846319,project
-20.063513,-33.462227,-5.760478,implemented
10.017512,15.56277,-23.080547,science
-2.0860019,-3.228926,-15.60275,funded
32.03119,-13.547614,2.2401152,world
18.068426,0.23301795,3.0435653,bank
7.14781,-2.1308794,-6.0886497,loan
-9.952146,-10.279585,-15.420633,underwent
2.2578273,-0.6927789,7.8231397,external
8.330905,9.67052,-22.16945,evaluation
-17.41376,-30.374739,-11.365349,conducted
35.8315,-10.96181,7.9550004,team
