x,y,label
9.99057,-15.508097,government
20.830198,45.136635,montenegro
-1.1372198,-13.438525,ministry
12.046809,1.7443097,education
11.525153,1.1519766,strategy
12.052959,1.6305736,development
18.670612,-26.057554,higher
-13.777377,39.881607,podgorica
67.05543,-21.906609,july
21.369162,15.684251,introduction
10.561686,0.40122306,strategic
42.92449,-13.742261,goal
13.774485,-44.26231,develop
15.6229515,-31.02824,effective
57.240356,-12.310175,high
31.924889,12.460428,quality
32.040794,14.328715,system
12.142893,2.0689876,research
13.821056,47.59514,foster
48.84285,36.749752,social
2.9668546,-19.009346,economic
20.631756,-34.57444,society
9.808232,-39.646114,equal
16.325115,-41.472034,opportunities
64.47559,7.20522,line
8.768062,-37.522587,principles
20.274776,-35.313152,freedom
5.317653,-15.786226,democracy
7.9840903,-46.492916,achieving
6.112437,-58.404858,stated
-4.825874,-38.118206,objective
-52.42694,-35.144245,entails
7.165764,4.0916667,implementation
46.739002,12.978418,large
65.24573,7.0746174,number
0.9344001,-18.813068,measures
17.640078,-1.174288,activities
14.161673,-42.15827,contribute
16.195549,-30.56473,improvement
11.224063,-0.6229567,sustainable
11.970919,-29.499098,stable
7.541325,-8.503445,funding
-11.047917,-26.744995,adequate
28.98804,-36.852276,response
11.19243,-13.8393755,labour
14.371482,4.8888197,market
58.689476,-44.97224,needs
40.955666,-5.250533,degree
-44.243904,7.0102243,internationalization
-27.517544,-34.586693,strengthening
3.8564935,14.657715,component
32.89763,64.72052,role
11.849178,-45.264397,producing
8.329786,-33.233494,competitive
-11.066295,-64.72273,competent
25.166058,-36.01694,human
12.955594,2.7661216,resources
51.771503,-37.092525,also
13.763086,-32.110462,impact
16.349478,-35.495804,changes
47.94106,37.69556,actual
-3.663487,3.841627,institutions
14.059976,-1.7366273,organization
15.159225,-34.731136,terms
23.670134,-31.988367,teaching
5.3681707,0.8057062,assurance
25.098537,-57.4658,recognise
48.54483,-31.339073,making
-12.974719,-20.038038,continuous
-1.4074634,-9.854896,contribution
-47.931316,11.543986,emancipation
-37.795925,-20.341124,preserving
-35.257484,-30.691376,recognising
31.947153,25.989826,traditional
12.762792,-26.9612,identity
8.792866,-37.62551,values
14.876798,23.935852,contemporary
0.907286,-44.039104,aspirations
33.30741,45.404915,mission
-12.483405,-36.098976,objectives
-30.971289,43.415207,harmonized
30.524246,68.16688,eu
25.324905,11.16306,documents
31.576895,37.847458,europe
-32.99883,-29.54122,rethinking
-24.257992,3.4931357,modernization
