x,y,z,label
2.8160646,-7.1761794,-18.892113,government
-3.380473,26.847912,-14.225216,montenegro
0.5398526,-1.5834486,-11.660493,ministry
5.78378,1.5933294,-6.2420654,education
4.459191,3.483288,-5.835652,strategy
5.1766996,2.937585,-5.676454,development
9.178995,-9.3104515,14.480343,higher
-5.7076025,27.322517,-10.577105,podgorica
32.97106,-1.166793,-4.2634425,july
10.980653,10.979922,-0.8297278,introduction
3.0436678,1.6328062,-5.462209,strategic
26.004541,9.794307,-18.364117,goal
6.164206,-26.071781,3.002232,develop
4.7264037,-14.102367,7.5542936,effective
27.344624,-3.2756279,10.046668,high
10.542332,3.5012357,5.023372,quality
6.883515,4.4650993,5.680947,system
6.1614795,2.212063,-6.317622,research
15.061612,19.59611,20.182352,foster
29.821434,18.451233,-1.6179091,social
1.1779251,-11.434029,-5.1306252,economic
12.179973,-16.214209,11.528195,society
5.917009,-20.181553,11.256477,equal
7.579528,-15.187952,15.69498,opportunities
30.90025,5.410168,4.6005006,line
3.3150244,-18.79819,12.91792,principles
10.792598,-20.958357,18.834923,freedom
1.4924114,-9.048764,-15.085984,democracy
4.261087,-28.46989,7.402872,achieving
7.07808,-24.060822,-9.600609,stated
-4.8504343,-19.11329,15.090389,objective
-20.05147,-14.354185,5.260556,entails
0.18500534,3.1601825,-4.8627377,implementation
15.55208,2.4331121,15.983556,large
32.673954,6.8016496,4.5745606,number
6.090454,-11.779414,-4.180514,measures
8.913128,5.395236,-14.72072,activities
7.72485,-22.461706,2.5293903,contribute
2.882842,-14.430753,7.157908,improvement
1.814893,3.2407885,-7.525405,sustainable
2.4880815,-11.347246,9.828906,stable
5.816634,-7.0090957,-4.9375467,funding
-2.182045,-12.547886,8.3594675,adequate
14.501803,-15.617594,5.2742257,response
1.1443683,-5.1139684,-21.502241,labour
7.653834,0.8649577,-1.1968428,market
31.511467,-23.344238,-0.6749419,needs
13.9306345,12.577286,-22.48216,degree
-21.494219,5.598275,-2.8209453,internationalization
-5.4900923,-11.960133,4.9026027,strengthening
0.46943164,-0.0013984368,9.178825,component
18.464277,27.122993,9.625049,role
1.8968003,-25.695042,2.283457,producing
-1.9809623,-18.558628,21.87656,competitive
-7.6279645,-31.895708,7.5761814,competent
13.462995,-18.228195,11.229474,human
3.644602,3.8008833,-0.7672245,resources
26.938646,-17.13243,-2.4985194,also
7.379161,-14.082352,9.314291,impact
9.638375,-17.760279,8.341813,changes
29.568867,20.934988,-1.427045,actual
1.7984257,1.1297519,-14.306461,institutions
6.1173687,0.5094729,-9.775797,organization
